City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,44.89,97,100,8.97,overcast clouds
1,Punta Arenas,CL,-53.15,-70.9167,46.51,93,75,6.91,light rain
2,Icod De Los Vinos,ES,28.3724,-16.7119,90.54,66,100,9.4,overcast clouds
3,Vestmannaeyjar,IS,63.4427,-20.2734,43.99,70,63,7.2,broken clouds
4,Albany,US,42.6001,-73.9662,38.91,68,52,5.01,broken clouds
5,Atuona,PF,-9.8,-139.0333,79.05,77,48,16.33,scattered clouds
6,Rikitea,PF,-23.1203,-134.9692,77.99,66,4,11.86,clear sky
7,Jamestown,US,42.097,-79.2353,35.19,58,75,10.36,broken clouds
8,Pangnirtung,CA,66.1451,-65.7125,8.82,91,100,5.64,overcast clouds
9,Hermanus,ZA,-34.4187,19.2345,70.81,52,12,16.17,few clouds
10,Yatou,CN,37.15,122.3833,53.31,50,100,6.55,light rain
11,Puerto Ayora,EC,-0.7393,-90.3518,75.16,85,95,7.54,overcast clouds
12,Hobart,AU,-42.8794,147.3294,64.26,73,40,5.75,scattered clouds
13,Lebu,CL,-37.6167,-73.65,58.17,82,100,7.31,overcast clouds
14,Kahului,US,20.8947,-156.47,73.85,79,20,18.01,few clouds
15,Juneau,US,58.3019,-134.4197,38.21,86,100,0.0,overcast clouds
16,Sabang,ID,5.8933,95.3214,84.07,66,78,5.57,broken clouds
17,Bethel,US,41.3712,-73.414,47.57,46,0,13.8,clear sky
18,Kapaa,US,22.0752,-159.319,69.48,98,21,13.04,light rain
19,Nome,US,64.5011,-165.4064,30.27,80,100,16.11,light snow
20,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,83,75,9.22,broken clouds
21,Vaini,TO,-21.2,-175.2,77.16,94,40,5.75,scattered clouds
22,Havoysund,NO,70.9963,24.6622,41.23,99,100,22.75,light rain
23,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,80,72,10.49,broken clouds
24,Saint George,US,37.1041,-113.5841,54.19,37,0,0.0,clear sky
25,Rio Gallegos,AR,-51.6226,-69.2181,53.65,47,0,13.8,clear sky
26,Mar Del Plata,AR,-38.0023,-57.5575,62.87,86,100,5.01,overcast clouds
27,Umm Lajj,SA,25.0213,37.2685,83.59,48,89,3.38,overcast clouds
28,Bredasdorp,ZA,-34.5322,20.0403,66.47,56,0,11.79,clear sky
29,Mahibadhoo,MV,3.7833,72.9667,84.76,73,100,12.95,overcast clouds
30,San Patricio,US,28.017,-97.5169,81.18,72,83,9.28,broken clouds
31,East London,ZA,-33.0153,27.9116,70.84,72,69,16.46,broken clouds
32,Eyl,SO,7.9803,49.8164,84.99,69,29,10.92,scattered clouds
33,Saskylakh,RU,71.9167,114.0833,27.45,96,100,20.24,light snow
34,Tuktoyaktuk,CA,69.4541,-133.0374,4.05,84,100,8.79,overcast clouds
35,Carnarvon,AU,-24.8667,113.6333,69.87,94,100,5.75,light rain
36,Shingu,JP,33.7333,135.9833,57.6,91,88,7.56,overcast clouds
37,Kaitangata,NZ,-46.2817,169.8464,43.66,93,4,4.0,clear sky
38,Ankang,CN,32.68,109.0172,52.25,77,100,1.36,overcast clouds
39,Barrow,US,71.2906,-156.7887,-5.78,84,0,11.5,clear sky
40,Pisco,PE,-13.7,-76.2167,67.01,77,0,8.05,clear sky
41,Port Lincoln,AU,-34.7333,135.8667,62.33,83,100,8.68,light rain
42,Melfi,IT,40.9965,15.6514,48.49,70,100,17.16,overcast clouds
43,Nishihara,JP,26.1842,127.7558,65.48,59,20,4.61,few clouds
44,Mahebourg,MU,-20.4081,57.7,79.09,94,40,6.91,scattered clouds
45,San Juan Del Sur,NI,11.2529,-85.8705,81.7,64,54,20.0,broken clouds
46,Busselton,AU,-33.65,115.3333,55.35,70,16,5.14,few clouds
47,The Valley,AI,18.217,-63.0578,84.34,58,20,20.71,few clouds
48,Castro,BR,-24.7911,-50.0119,63.88,60,56,4.85,broken clouds
49,Ahuimanu,US,21.4447,-157.8378,73.2,80,75,11.5,broken clouds
50,Tortoli,IT,39.9256,9.6572,58.66,54,3,20.87,clear sky
51,Georgetown,MY,5.4112,100.3354,84.13,79,20,3.44,heavy intensity rain
52,Port Hardy,CA,50.6996,-127.4199,39.24,77,6,8.12,clear sky
53,Dikson,RU,73.5069,80.5464,8.71,93,100,13.8,overcast clouds
54,Bambous Virieux,MU,-20.3428,57.7575,79.05,94,40,6.91,moderate rain
55,Rypefjord,NO,70.6333,23.6667,41.47,100,75,16.11,broken clouds
56,Puerto Rico,AR,-26.796,-55.024,76.91,42,8,2.77,clear sky
57,Zabol,AF,32.25,67.25,70.34,28,100,2.73,overcast clouds
58,Nikolskoye,RU,59.7035,30.7861,46.29,54,84,5.44,broken clouds
59,Fortuna,US,40.5982,-124.1573,40.66,93,0,5.75,clear sky
60,Plettenberg Bay,ZA,-34.0527,23.3716,64.72,68,0,4.36,clear sky
61,Cape Town,ZA,-33.9258,18.4232,73.35,70,24,13.0,few clouds
62,Jaisalmer,IN,26.9147,70.9181,98.91,11,26,16.55,scattered clouds
63,Victoria,HK,22.2855,114.1577,73.18,76,97,11.01,overcast clouds
64,Babanka,UA,48.7097,30.4483,44.2,53,98,11.25,overcast clouds
65,Hilo,US,19.7297,-155.09,75.27,88,100,9.22,overcast clouds
66,Sao Filipe,CV,14.8961,-24.4956,72.1,78,64,11.01,broken clouds
67,Hithadhoo,MV,-0.6,73.0833,83.5,74,72,7.74,broken clouds
68,Awbari,LY,26.5921,12.7805,75.81,22,76,14.47,broken clouds
69,Mataura,NZ,-46.1927,168.8643,37.47,96,0,2.1,clear sky
70,Keflavik,IS,64.0049,-22.5624,45.03,61,75,11.5,broken clouds
71,Deputatskiy,RU,69.3,139.9,-2.69,100,100,2.66,overcast clouds
72,Butaritari,KI,3.0707,172.7902,81.32,74,23,12.55,few clouds
73,Padilla,CO,3.2204,-76.3139,74.77,78,76,2.19,broken clouds
74,Sampit,ID,-2.5333,112.95,76.51,87,100,2.51,overcast clouds
75,Girua,BR,-28.0283,-54.3497,69.67,55,30,3.8,scattered clouds
76,Yellowknife,CA,62.456,-114.3525,0.55,64,45,4.0,scattered clouds
77,Samarai,PG,-10.6167,150.6667,82.02,79,94,8.81,overcast clouds
78,Taraz,KZ,42.9,71.3667,68.41,52,96,4.47,overcast clouds
79,Avarua,CK,-21.2078,-159.775,77.05,88,20,2.3,few clouds
80,Richards Bay,ZA,-28.783,32.0377,64.72,92,100,2.73,light rain
81,Bluff,NZ,-46.6,168.3333,37.8,82,3,5.73,clear sky
82,Kruisfontein,ZA,-34.0033,24.7314,65.88,63,41,7.25,scattered clouds
83,Zonguldak,TR,41.25,31.8333,51.44,92,100,4.59,moderate rain
84,Mareeba,AU,-17.0,145.4333,70.52,91,82,2.48,broken clouds
85,Tuatapere,NZ,-46.1333,167.6833,44.15,90,1,3.74,clear sky
86,Adrar,MR,20.5022,-10.0711,96.33,8,4,9.69,clear sky
87,Burhanpur,IN,21.3,76.2333,95.38,12,2,3.71,clear sky
88,Novopokrovka,UA,49.8425,36.5477,49.33,75,100,8.19,overcast clouds
89,Avanigadda,IN,16.0215,80.9181,84.18,68,40,12.91,scattered clouds
90,Broome,US,42.2506,-75.833,39.02,64,100,16.11,overcast clouds
91,Saint Anthony,US,45.0205,-93.218,40.91,51,100,13.8,overcast clouds
92,Khatanga,RU,71.9667,102.5,12.88,96,100,10.83,overcast clouds
93,Fare,PF,-16.7,-151.0167,80.44,73,6,10.13,light rain
94,Kloulklubed,PW,7.0419,134.2556,75.7,71,100,3.67,overcast clouds
95,Severo-Kurilsk,RU,50.6789,156.125,29.16,80,41,11.81,scattered clouds
96,Yelanskiy,RU,56.8419,62.5014,36.86,72,76,3.69,broken clouds
97,Manoel Urbano,BR,-8.8389,-69.2597,80.26,83,47,3.8,scattered clouds
98,Zyryanka,RU,65.75,150.85,4.44,100,100,3.09,overcast clouds
99,Mazatlan,MX,23.2167,-106.4167,70.92,70,75,1.01,broken clouds
100,Laguna,US,38.421,-121.4238,53.96,82,0,6.91,clear sky
101,Ankazoabo,MG,-22.2833,44.5167,83.08,47,77,3.83,broken clouds
102,Puerto Escondido,MX,15.85,-97.0667,85.41,55,55,3.78,broken clouds
103,Gore,NZ,-46.1028,168.9436,39.65,95,0,1.7,clear sky
104,Bukama,CD,-9.2,25.85,81.57,80,31,2.51,light rain
105,Jardim,BR,-21.4803,-56.1381,79.11,43,37,2.42,scattered clouds
106,Cidreira,BR,-30.1811,-50.2056,70.05,60,90,8.61,overcast clouds
107,Tiksi,RU,71.6872,128.8694,-6.45,98,52,3.47,broken clouds
108,Lindas,NO,60.7381,5.16,55.45,70,100,9.73,overcast clouds
109,Tres Arroyos,AR,-38.3739,-60.2798,68.23,48,64,6.82,broken clouds
110,Dakar,SN,14.6937,-17.4441,83.28,84,27,15.82,scattered clouds
111,Wattegama,LK,6.7989,81.4808,76.06,91,29,4.41,scattered clouds
112,Nawabshah,PK,26.2483,68.4096,96.76,49,40,11.5,haze
113,Kavieng,PG,-2.5744,150.7967,82.89,72,71,12.66,broken clouds
114,Berberati,CF,4.2612,15.7922,76.59,70,95,7.85,light rain
115,Mount Isa,AU,-20.7333,139.5,65.97,45,0,0.0,clear sky
116,San Cristobal,VE,7.7669,-72.225,66.38,93,100,1.59,overcast clouds
117,Westport,US,41.1415,-73.3579,49.89,41,0,18.01,clear sky
118,Yining,CN,29.0361,114.5636,50.81,95,100,0.94,overcast clouds
119,Taoudenni,ML,22.6783,-3.9836,90.5,15,0,14.67,clear sky
120,Tasiilaq,GL,65.6145,-37.6368,35.76,100,100,5.06,moderate rain
121,Leshukonskoye,RU,64.8989,45.7622,33.8,98,100,8.21,light snow
122,Geraldton,AU,-28.7667,114.6,61.21,63,23,16.11,few clouds
123,Alofi,NU,-19.0595,-169.9187,81.57,74,56,11.77,broken clouds
124,Chuy,UY,-33.6971,-53.4616,70.88,55,79,9.55,broken clouds
125,Coihaique,CL,-45.5752,-72.0662,52.36,61,100,4.54,overcast clouds
126,Trairi,BR,-3.2778,-39.2689,85.26,70,59,6.31,broken clouds
127,Moura,PT,38.1401,-7.4486,78.33,30,100,7.2,overcast clouds
128,Novato,US,38.1074,-122.5697,50.86,92,0,3.0,mist
129,Krasnopillya,UA,50.7746,35.2597,41.9,90,100,5.44,overcast clouds
130,Sur,OM,22.5667,59.5289,89.94,39,52,5.21,broken clouds
131,Kodiak,US,57.79,-152.4072,35.11,87,100,4.61,light rain
132,Namibe,AO,-15.1961,12.1522,77.72,71,65,10.38,broken clouds
133,Christchurch,NZ,-43.5333,172.6333,55.9,81,89,10.36,overcast clouds
134,Bukachacha,RU,52.9833,116.9167,38.17,61,100,3.6,overcast clouds
135,Pochutla,MX,15.7432,-96.4661,87.82,50,52,3.62,broken clouds
136,Qaqortoq,GL,60.7167,-46.0333,32.0,78,100,6.31,overcast clouds
137,North Bend,US,43.4065,-124.2243,39.16,93,0,8.05,clear sky
138,Ha Tinh,VN,18.3333,105.9,72.93,95,100,5.75,overcast clouds
139,Kanke,IN,23.4333,85.3167,86.02,28,20,0.0,haze
140,Port Elizabeth,ZA,-33.918,25.5701,68.09,92,75,5.99,broken clouds
141,Ancud,CL,-41.8697,-73.8203,60.22,77,100,2.59,overcast clouds
142,Buguruslan,RU,53.6554,52.442,51.46,71,100,6.87,overcast clouds
143,Aklavik,CA,68.2191,-135.0107,1.58,83,85,13.78,overcast clouds
144,Avera,US,33.194,-82.5271,72.91,64,81,4.99,broken clouds
145,Mashhad,IR,36.297,59.6062,59.14,67,75,20.71,broken clouds
146,Celendin,PE,-6.8703,-78.1517,63.12,61,25,2.57,scattered clouds
147,Iqaluit,CA,63.7506,-68.5145,-4.27,70,100,21.85,light snow
148,Qaanaaq,GL,77.484,-69.3632,-12.41,70,10,4.59,clear sky
149,Canberra,AU,-35.2835,149.1281,50.27,92,100,0.0,overcast clouds
150,Dongsheng,CN,39.8161,109.9776,40.1,67,98,15.05,overcast clouds
151,Moron,AR,-34.6534,-58.6198,70.95,68,84,5.5,light rain
152,Progreso,MX,21.2833,-89.6667,85.1,57,0,9.53,clear sky
153,Okhotsk,RU,59.3833,143.3,19.76,90,100,2.55,overcast clouds
154,Cabo San Lucas,MX,22.8909,-109.9124,80.51,28,100,3.85,overcast clouds
155,Khash,IR,28.2211,61.2158,79.09,19,3,16.98,clear sky
156,Yar-Sale,RU,66.8333,70.8333,16.03,93,84,8.7,broken clouds
157,Yangjiang,CN,21.85,111.9667,70.75,78,100,6.64,overcast clouds
